CustomerNumber,CustomerName,Phone,"Address ",City,Country
103,"Atelier graphique",40.32.2555,"54, rue Royale",Nantes,France
112,"Signal Gift Stores",7025551838,"8489 Strong St.","Las Vegas",USA
114,"Australian Collectors, Co.","03 9520 4555","636 St Kilda Road",Melbourne,Australia
119,"La Rochelle Gifts",40.67.8555,"67, rue des Cinquante Otages",Nantes,France
121,"Baane Mini Imports","07-98 9555","Erling Skakkes gate 78",Stavern,Norway
124,"Mini Gifts Distributors Ltd.",4155551450,"5677 Strong St.","San Rafael",USA
125,"Havel & Zbyszek Co","(26) 642-7555","ul. Filtrowa 68",Warszawa,Poland
128,"Blauer See Auto, Co.","+49 69 66 90 2555","Lyonerstr. 34",Frankfurt,Germany
129,"Mini Wheels Co.",6505555787,"5557 North Pendale Street","San Francisco",USA
131,"Land of Toys Inc.",2125557818,"897 Long Airport Avenue",NYC,USA
141,"Euro+ Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",Madrid,Spain
144,"Volvo Model Replicas, Co","0921-12 3555","Berguvsvägen  8",Luleå,Sweden
145,"Danish Wholesale Imports","31 12 3555","Vinbæltet 34",Kobenhavn,Denmark
146,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,France
148,"Dragon Souveniers, Ltd.","+65 221 7555","Bronz Sok.",Singapore,Singapore
151,"Muscle Machine Inc",2125557413,"4092 Furth Circle",NYC,USA
157,"Diecast Classics Inc.",2155551555,"7586 Pompton St.",Allentown,USA
161,"Technics Stores Inc.",6505556809,"9408 Furth Circle",Burlingame,USA
166,"Handji Gifts& Co","+65 224 1555","106 Linden Road Sandown",Singapore,Singapore
167,"Herkku Gifts","+47 2267 3215","Brehmen St. 121",Bergen,"Norway  "
168,"American Souvenirs Inc",2035557845,"149 Spinnaker Dr.","New Haven",USA
169,"Porto Imports Co.","(1) 356-5555","Estrada da saúde n. 58",Lisboa,Portugal
171,"Daedalus Designs Imports",20.16.1555,"184, chaussée de Tournai",Lille,France
172,"La Corne D'abondance, Co.","(1) 42.34.2555","265, boulevard Charonne",Paris,France
173,"Cambridge Collectables Co.",6175555555,"4658 Baden Av.",Cambridge,USA
175,"Gift Depot Inc.",2035552570,"25593 South Bay Ln.",Bridgewater,USA
177,"Osaka Souveniers Co.","+81 06 6342 5555","1-6-20 Dojima",Kita-ku,Japan
181,"Vitachrome Inc.",2125551500,"2678 Kingston Rd.",NYC,USA
186,"Toys of Finland, Co.","90-224 8555","Keskuskatu 45",Helsinki,Finland
187,"AV Stores, Co.","(171) 555-1555","Fauntleroy Circus",Manchester,UK
189,"Clover Collections, Co.","+353 1862 1555","25 Maiden Lane",Dublin,Ireland
198,"Auto-Moto Classics Inc.",6175558428,"16780 Pompton St.",Brickhaven,USA
201,"UK Collectables, Ltd.","(171) 555-2282","12, Berkeley Gardens Blvd",Liverpool,UK
202,"Canadian Gift Exchange Network","(604) 555-3392","1900 Oak St.",Vancouver,Canada
204,"Online Mini Collectables",6175557555,"7635 Spinnaker Dr.",Brickhaven,USA
205,Toys4GrownUps.com,6265557265,"78934 Hillside Dr.",Pasadena,USA
206,"Asian Shopping Network, Co","+612 9411 1555","Suntec Tower Three",Singapore,Singapore
209,"Mini Caravy",88.60.1555,"24, place Kléber",Strasbourg,France
211,"King Kong Collectables, Co.","+852 2251 1555","Bank of China Tower","Central Hong Kong","Hong Kong"
216,"Enaco Distributors","(93) 203 4555","Rambla de Cataluña, 23",Barcelona,Spain
219,"Boards & Toys Co.",3105552373,"4097 Douglas Av.",Glendale,USA
